label,source_path,mean_r,std_r,mean_g,std_g,mean_b,std_b,mean_h,mean_s,mean_v,contrast,correlation,energy,homogeneity,asm,dissimilarity,area,perimeter,aspect_ratio,circularity,solidity,extent
healthy,healthy\61.jpeg,119.91764831542969,13.992600010036332,156.75466918945312,12.981688041795264,44.744293212890625,6.041077022983563,39.959320068359375,181.97451782226562,156.75466918945312,13.068530883554416,0.9535476803053688,0.05906695449934602,0.42205607718463795,0.003685652370339214,2.277914624183014,22459.5,1425.5462439060211,0.43359375,0.13888243662510008,0.8993332932908883,0.7903821790540541
healthy,healthy\62.jpeg,121.93397521972656,14.433629858069557,159.1865692138672,13.262353180138359,43.02583312988281,5.982560899807729,39.70426940917969,185.86607360839844,159.1865692138672,13.42446230115824,0.9546243889368384,0.05813171930753783,0.4193603079013364,0.003569862816459805,2.303708384395432,26354.0,1441.1025930643082,0.5078125,0.15946545132380405,0.9092289115059513,0.7918870192307692
healthy,healthy\63.jpeg,96.73683166503906,15.857745132404853,136.25352478027344,11.298867582968967,30.701431274414062,9.580535759127581,41.37034606933594,197.54444885253906,136.275634765625,9.31400116541722,0.9642256383927137,0.0759850027909333,0.4918207313208499,0.005828793717451144,1.7321598363610273,5702.0,1030.239675283432,0.171875,0.06750882284928524,0.6502451818907515,0.5062144886363636
healthy,healthy\64.jpeg,129.79891967773438,11.38920907287069,155.8521270751953,10.829267759840489,49.80854797363281,22.095101141136006,37.68878173828125,174.94029235839844,156.00601196289062,15.165179678489107,0.9396747393924548,0.05316388360013426,0.32749032682095686,0.002870481598080662,2.7639469494905944,10378.0,1316.9747378826141,0.601123595505618,0.07519148144518588,0.6676101640398842,0.5448913157618398
healthy,healthy\65.jpeg,130.57830810546875,15.57686928924711,151.4380645751953,11.594583472788107,50.87321472167969,22.113498794527835,36.5875244140625,170.00123596191406,151.60809326171875,11.133931615844954,0.963656518460176,0.060505387382731056,0.42426071523446507,0.0037041800584359016,2.0551664774365825,12409.0,1139.7199041843414,0.4140625,0.1200467433070012,0.637077728719581,0.45728920990566035
healthy,healthy\66.jpeg,123.50711059570312,10.930101212951609,147.70152282714844,9.204539570580817,46.25799560546875,11.172206760195534,37.16746520996094,176.1319122314453,148.61622619628906,10.884569741806137,0.9220798008358545,0.07599359868743957,0.46734754647568405,0.005836145578299584,1.834571453887945,22706.0,3049.2530784606934,0.6875,0.030687644584994823,0.6182540979142842,0.5039506392045454
healthy,healthy\67.jpeg,129.56558227539062,20.957850755536132,139.1169891357422,17.49681456617223,80.37800598144531,21.228627183318828,34.91448974609375,110.70103454589844,140.14093017578125,40.99022464316651,0.9399688510329073,0.0332070765469699,0.28315210950621494,0.0011715701044931015,4.165765390715132,35371.0,3899.7728493213654,1.0,0.029226619098889375,0.5706380575945793,0.5397186279296875
healthy,healthy\68.jpeg,131.8094940185547,21.50694855750609,141.96849060058594,17.776842021582112,71.03987121582031,21.81253666181591,34.31318664550781,130.2860870361328,142.68809509277344,31.03321775278767,0.9568675600250726,0.036056627775428125,0.31555975909719436,0.0013908684420436254,3.607221891820468,26168.0,3205.8418308496475,1.0,0.031996038618859975,0.523496108988337,0.3992919921875
healthy,healthy\69.jpeg,139.68829345703125,22.034703871947766,146.35398864746094,22.154037409827207,82.80270385742188,36.38358480047418,33.72392272949219,115.8355712890625,147.18382263183594,11.715916053921834,0.9889421413680781,0.047665215414853704,0.40520774674862714,0.002378501866356871,2.1971484224817646,11644.0,1399.1757479906082,0.33984375,0.07474248329179195,0.6619482106819021,0.522808908045977
healthy,healthy\7.jpeg,151.4084014892578,19.79677793474472,148.43002319335938,21.442947660468214,110.48196411132812,22.80206266796386,28.196197509765625,71.78863525390625,152.26370239257812,35.541012245891906,0.9580660890893362,0.040443183283629947,0.2746147062235009,0.0016458840827018274,3.7115129847895516,60353.0,1367.1269775629044,1.0,0.4057803571346804,0.9322510387865119,0.9209136962890625
healthy,healthy\70.jpeg,141.5557403564453,23.578203429188793,132.99168395996094,19.366322585787895,102.99276733398438,19.41999585974334,24.752593994140625,70.16297912597656,142.00624084472656,15.53952407127073,0.9810758037689068,0.037930490722508384,0.36406566041260086,0.0014585182485372314,2.5405889862072275,16999.5,1637.765710234642,0.7182539682539683,0.07964205611796812,0.5570592957908017,0.3726979742173112
healthy,healthy\71.jpeg,142.50999450683594,18.22980519168074,165.66648864746094,18.339927134048807,59.71992492675781,22.591565197772027,36.27369689941406,164.08863830566406,166.29730224609375,13.914176188245289,0.976686098177467,0.07729700690937139,0.5706281748966773,0.006167879763967946,1.4257269139273692,55906.0,1557.4701237678528,1.0,0.2896201906707969,0.8973747782887503,0.853057861328125
healthy,healthy\72.jpeg,118.77194213867188,16.71146501220267,146.8052520751953,11.930102824248895,51.022186279296875,12.82679612885152,38.708648681640625,166.9701385498047,147.1754608154297,15.09495644703986,0.9507700984491463,0.05162041494697209,0.33976671000000636,0.0027154312694847513,2.6579063941753542,17524.0,3922.830846786499,1.0,0.014310142062078196,0.38093581870550514,0.26739501953125
healthy,healthy\73.jpeg,168.4617462158203,27.25391047643202,151.85748291015625,23.113122771494904,110.54463195800781,23.918394411838715,22.570419311523438,88.27265930175781,168.55238342285156,69.7790751303595,0.9361242428871632,0.03243656624035282,0.2981827816928749,0.001073613532948459,4.564189539480023,44514.5,2943.7211124897003,1.0,0.0645532390282584,0.763352167985664,0.6792373657226562
healthy,healthy\74.jpeg,106.00070190429688,29.120062274162127,135.9340057373047,27.234489737395755,26.453323364257812,26.918230700504484,38.595001220703125,208.5889434814453,136.108154296875,45.4528162996219,0.9667133474471568,0.028223761488938258,0.2706608095760063,0.0008115316943215934,4.172346798707316,21449.0,3862.3800563812256,0.87890625,0.018067867682420066,0.4160048099768229,0.3723784722222222
healthy,healthy\75.jpeg,99.36166381835938,12.116955694320035,143.97940063476562,11.098767977452445,29.548782348632812,7.028862488348888,41.755584716796875,202.86477661132812,143.98170471191406,8.008698667579853,0.9622291899838746,0.062343027550998256,0.40150944297454627,0.00392650932971542,2.009378604382946,39417.5,2870.833812236786,1.0,0.06010115733163516,0.6476749917844232,0.6014633178710938
