label,source_path,mean_r,std_r,mean_g,std_g,mean_b,std_b,mean_h,mean_s,mean_v,contrast,correlation,energy,homogeneity,asm,dissimilarity,area,perimeter,aspect_ratio,circularity,solidity,extent
pestalotiopsis,pestalotiopsis\200_aug.jpeg,109.51312255859375,23.99936952226922,112.88768005371094,21.800496805418543,55.98951721191406,16.71204313777023,31.841552734375,130.575927734375,114.41586303710938,35.963345287870936,0.9596133022938759,0.03312258181796134,0.2869687497142381,0.0011438386742941683,3.9314594446847932,25593.0,3117.1210482120514,1.0364372469635628,0.033099674675883,0.45243293410527247,0.40474759615384615
pestalotiopsis,pestalotiopsis\201_aug.jpeg,139.1785125732422,30.901789626707135,141.73556518554688,21.71060694378619,87.67166137695312,25.730505460987597,31.999176025390625,103.94038391113281,147.14340209960938,91.74095616770093,0.917419082168131,0.022372664291838894,0.1820803411019652,0.0005154375557034059,6.521137077686482,27770.0,3346.130275130272,1.0,0.031167362559803496,0.5587244102409336,0.423736572265625
pestalotiopsis,pestalotiopsis\202_aug.jpeg,138.1329803466797,31.05380847721115,141.2012939453125,21.65743738933513,85.78997802734375,25.31941012256398,32.33534240722656,106.43902587890625,146.45819091796875,91.87205209534886,0.9170162529581307,0.022467197965895754,0.18200057960265967,0.0005212051555933889,6.499131403786999,27376.0,3448.816567182541,1.0,0.028922755352505606,0.5486227316906983,0.417724609375
pestalotiopsis,pestalotiopsis\203_aug.jpeg,138.80026245117188,31.199004640470815,141.61265563964844,21.59606559504233,86.3953857421875,25.64125067216581,32.16410827636719,106.06706237792969,147.05886840820312,83.04317972654833,0.9250896538529274,0.022311299779165857,0.1803122226071595,0.0005103118193216223,6.336294574202214,27979.5,2974.632799386978,1.0,0.039735903168672905,0.556213782341189,0.42693328857421875
pestalotiopsis,pestalotiopsis\204_aug.jpeg,149.4503631591797,32.6533315203425,142.96080017089844,24.374412895961463,93.04975891113281,31.276935348869532,26.503768920898438,103.06236267089844,153.42796325683594,107.25720241313593,0.922658315405386,0.01981766798605074,0.15995110957885122,0.00039895179906487214,7.27744679029697,34831.0,4557.628958582878,1.0,0.021071617560718302,0.5601099926028367,0.5314788818359375
pestalotiopsis,pestalotiopsis\205_aug.jpeg,149.950439453125,32.519060156906775,144.48501586914062,21.46032719684731,85.88186645507812,29.094839148395938,27.789230346679688,115.46240234375,154.82411193847656,57.86010382124722,0.9506102367500247,0.024078082791825352,0.20757574398728498,0.0006015627487381813,5.371050752715307,28138.0,3738.792182326317,1.0,0.025295335121716014,0.43620410346244176,0.429351806640625
pestalotiopsis,pestalotiopsis\206_aug.jpeg,146.67678833007812,33.86305701509881,139.73764038085938,27.515824911407698,93.59996032714844,31.58997130783552,25.8756103515625,98.60795593261719,150.21737670898438,151.06852073121124,0.9075415040521421,0.018368066731463656,0.1460369149680738,0.00034507595538683293,8.518071745242137,44696.0,3572.9587029218674,1.0,0.04399694577787629,0.7323671339270353,0.6820068359375
pestalotiopsis,pestalotiopsis\207_aug.jpeg,82.58674621582031,31.03355089651174,131.781005859375,19.340209043686194,23.29339599609375,22.36402754683619,43.897430419921875,212.02598571777344,133.10523986816406,60.27934614992116,0.925684534011579,0.033074931753358315,0.20764822463324362,0.0011023579676229414,5.22928649738089,2146.0,672.9503526687622,0.7835051546391752,0.059548870934003684,0.4946980175195943,0.29110146500271294
pestalotiopsis,pestalotiopsis\208_aug.jpeg,91.45657348632812,41.036739804669104,137.57440185546875,25.989792570921527,34.380706787109375,45.324788097706694,43.81892395019531,198.75657653808594,138.76043701171875,65.54671525074744,0.9647213570256542,0.029696448713449383,0.2024331497299503,0.0008865827582094186,5.440429987865238,5243.5,536.6345566511154,1.7272727272727273,0.2288094014327043,0.7827871911622005,0.5120105458451323
pestalotiopsis,pestalotiopsis\209_aug.jpeg,87.97151184082031,37.558749920982926,135.18759155273438,23.528123543862996,29.471023559570312,37.65144285271536,43.665802001953125,204.91220092773438,136.45082092285156,62.21054471237231,0.9569951806584738,0.030842677302793352,0.2029265410062566,0.0009571943210190799,5.356848357602832,4944.0,987.6610279083252,2.088888888888889,0.06369018223456459,0.3897363131133972,0.29219858156028367
pestalotiopsis,pestalotiopsis\20_aug.jpeg,99.41361999511719,27.432392314814564,107.01931762695312,20.204814293334078,47.946075439453125,19.372143119846918,34.54106140136719,146.1270294189453,109.40901184082031,15.470834249447385,0.9834740220952675,0.0361840680626341,0.3309744627652153,0.0013472287331207499,2.775393974072477,16007.5,1212.5067007541656,2.015748031496063,0.1368248812265505,0.6712021468405384,0.49235666830708663
pestalotiopsis,pestalotiopsis\210_aug.jpeg,66.52998352050781,38.28639575635105,121.24505615234375,27.96244211290826,28.533905029296875,40.39169536311159,48.067901611328125,203.29916381835938,121.79629516601562,94.47927828239922,0.9487345558580327,0.02878116091158467,0.19067675962474379,0.0008334863731054806,6.214752949586764,4298.0,899.2934979200363,0.40625,0.06678414470665446,0.595620842572062,0.4132692307692308
pestalotiopsis,pestalotiopsis\211_aug.jpeg,68.3590087890625,38.7678774523707,122.94514465332031,28.230593821888487,30.347793579101562,41.47730852541035,48.076385498046875,200.38465881347656,123.50894165039062,83.5487732933309,0.9557605159917245,0.02987764767689148,0.2076889308360368,0.0008991306012314816,5.767398761894527,4565.0,895.2934975624084,0.42857142857142855,0.07156814906058105,0.6019647919825938,0.41092807633450357
pestalotiopsis,pestalotiopsis\212_aug.jpeg,66.06436157226562,37.3672803014754,121.554931640625,26.73521235529703,26.8851318359375,37.63783410720451,47.738616943359375,205.46083068847656,122.18074035644531,79.44670551891677,0.9528577621920575,0.030683651120064354,0.20266554973033155,0.0009474471737977657,5.750837343209399,4787.5,566.8599520921707,0.5538461538461539,0.18722640550616576,0.7597397445052765,0.5114850427350427
pestalotiopsis,pestalotiopsis\213_aug.jpeg,117.33537292480469,23.15100148170269,140.31988525390625,18.812360460355553,67.1917724609375,23.2589946464976,39.14463806152344,136.6588897705078,141.55361938476562,18.754238679234295,0.9755089045371961,0.04068511507370784,0.38176111728743645,0.0016707958840347357,2.5625458507545487,29353.0,2775.395210504532,1.1636363636363636,0.04788645520807107,0.5864676676556678,0.521182528409091
